sex,country,year,age,generation,suicides_no,population,suicides/100k pop,Suma - HDI for year,Suma -  gdp_for_year ($) ,Suma - gdp_per_capita ($)
male,Antigua and Barbuda,1999,55-74 years,6,0,3276,0,,766198926,10378
male,Antigua and Barbuda,1999,75+ years,2,0,947,0,,766198926,10378
male,Antigua and Barbuda,2000,15-24 years,3,0,5783,0,,830158778,11021
male,Antigua and Barbuda,2000,25-34 years,3,0,7177,0,,830158778,11021
male,Antigua and Barbuda,2000,35-54 years,1,1,10033,"9,97",,830158778,11021
male,Antigua and Barbuda,2000,5-14 years,5,0,7973,0,,830158778,11021
male,Antigua and Barbuda,2000,55-74 years,6,1,3333,30,,830158778,11021
male,Antigua and Barbuda,2000,75+ years,2,0,938,0,,830158778,11021
male,Antigua and Barbuda,2001,15-24 years,5,0,6084,0,,800740259,10468
male,Antigua and Barbuda,2001,25-34 years,3,0,7071,0,,800740259,10468
male,Antigua and Barbuda,2001,35-54 years,1,2,10281,"19,45",,800740259,10468
male,Antigua and Barbuda,2001,5-14 years,5,0,7958,0,,800740259,10468
male,Antigua and Barbuda,2001,55-74 years,6,0,3442,0,,800740259,10468
male,Antigua and Barbuda,2001,75+ years,6,0,980,0,,800740259,10468
male,Antigua and Barbuda,2002,15-24 years,5,0,6416,0,,814615333,10499
male,Antigua and Barbuda,2002,25-34 years,3,0,6921,0,,814615333,10499
male,Antigua and Barbuda,2002,35-54 years,1,0,10604,0,,814615333,10499
male,Antigua and Barbuda,2002,5-14 years,5,0,7980,0,,814615333,10499
male,Antigua and Barbuda,2002,55-74 years,6,0,3527,0,,814615333,10499
male,Antigua and Barbuda,2002,75+ years,6,0,1024,0,,814615333,10499
male,Antigua and Barbuda,2003,15-24 years,5,0,6730,0,,855643111,10878
male,Antigua and Barbuda,2003,25-34 years,3,0,6734,0,,855643111,10878
male,Antigua and Barbuda,2003,35-54 years,1,0,10997,0,,855643111,10878
male,Antigua and Barbuda,2003,5-14 years,5,0,8061,0,,855643111,10878
male,Antigua and Barbuda,2003,55-74 years,6,1,3594,"27,82",,855643111,10878
male,Antigua and Barbuda,2003,75+ years,6,0,1068,0,,855643111,10878
male,Antigua and Barbuda,2004,15-24 years,5,0,6968,0,,919577148,11535
male,Antigua and Barbuda,2004,25-34 years,3,0,6556,0,,919577148,11535
male,Antigua and Barbuda,2004,35-54 years,1,1,11406,"8,77",,919577148,11535
male,Antigua and Barbuda,2004,5-14 years,5,0,8196,0,,919577148,11535
male,Antigua and Barbuda,2004,55-74 years,6,1,3665,"27,29",,919577148,11535
male,Antigua and Barbuda,2004,75+ years,6,0,1094,0,,919577148,11535
male,Antigua and Barbuda,2005,15-24 years,5,0,7113,0,,1022191296,12649
male,Antigua and Barbuda,2005,25-34 years,3,0,6444,0,,1022191296,12649
male,Antigua and Barbuda,2005,35-54 years,1,0,11778,0,,1022191296,12649
male,Antigua and Barbuda,2005,5-14 years,5,0,8358,0,,1022191296,12649
male,Antigua and Barbuda,2005,55-74 years,6,0,3748,0,,1022191296,12649
male,Antigua and Barbuda,2005,75+ years,6,0,1110,0,,1022191296,12649
male,Antigua and Barbuda,2006,15-24 years,5,0,7239,0,,1157005444,14114
male,Antigua and Barbuda,2006,25-34 years,3,0,6319,0,,1157005444,14114
male,Antigua and Barbuda,2006,35-54 years,1,0,12202,0,,1157005444,14114
male,Antigua and Barbuda,2006,5-14 years,5,0,8485,0,,1157005444,14114
male,Antigua and Barbuda,2006,55-74 years,6,0,3847,0,,1157005444,14114
male,Antigua and Barbuda,2006,75+ years,6,0,1107,0,,1157005444,14114
male,Antigua and Barbuda,2007,15-24 years,5,0,7330,0,,1311401333,15775
male,Antigua and Barbuda,2007,25-34 years,3,0,6267,0,,1311401333,15775
male,Antigua and Barbuda,2007,35-54 years,1,1,12530,"7,98",,1311401333,15775
male,Antigua and Barbuda,2007,5-14 years,4,0,8564,0,,1311401333,15775
male,Antigua and Barbuda,2007,55-74 years,6,0,3988,0,,1311401333,15775
male,Antigua and Barbuda,2007,75+ years,6,0,1094,0,,1311401333,15775
male,Antigua and Barbuda,2008,15-24 years,5,0,7404,0,,1368431037,16238
male,Antigua and Barbuda,2008,25-34 years,3,0,6274,0,,1368431037,16238
male,Antigua and Barbuda,2008,35-54 years,1,0,12782,0,,1368431037,16238
male,Antigua and Barbuda,2008,5-14 years,4,0,8599,0,,1368431037,16238
male,Antigua and Barbuda,2008,55-74 years,6,0,4158,0,,1368431037,16238
male,Antigua and Barbuda,2008,75+ years,6,0,1069,0,,1368431037,16238
male,Antigua and Barbuda,2009,15-24 years,5,0,7489,0,,1224253000,14335
male,Antigua and Barbuda,2009,25-34 years,3,0,6325,0,,1224253000,14335
male,Antigua and Barbuda,2009,35-54 years,1,0,12978,0,,1224253000,14335
male,Antigua and Barbuda,2009,5-14 years,4,0,8599,0,,1224253000,14335
male,Antigua and Barbuda,2009,55-74 years,6,0,4349,0,,1224253000,14335
male,Antigua and Barbuda,2009,75+ years,6,0,1042,0,,1224253000,14335
male,Antigua and Barbuda,2010,15-24 years,,,,,,,
male,Antigua and Barbuda,2010,25-34 years,,,,,,,
male,Antigua and Barbuda,2010,35-54 years,,,,,,,
male,Antigua and Barbuda,2010,5-14 years,,,,,,,
male,Antigua and Barbuda,2010,55-74 years,,,,,,,
male,Antigua and Barbuda,2010,75+ years,,,,,,,
male,Antigua and Barbuda,2011,15-24 years,,,,,,,
male,Antigua and Barbuda,2011,25-34 years,,,,,,,
male,Antigua and Barbuda,2011,35-54 years,,,,,,,
male,Antigua and Barbuda,2011,5-14 years,,,,,,,
male,Antigua and Barbuda,2011,55-74 years,,,,,,,
male,Antigua and Barbuda,2011,75+ years,,,,,,,
male,Antigua and Barbuda,2012,15-24 years,5,0,7893,0,781,1211411704,13657
male,Antigua and Barbuda,2012,25-34 years,5,0,6629,0,781,1211411704,13657
male,Antigua and Barbuda,2012,35-54 years,3,0,13280,0,781,1211411704,13657
male,Antigua and Barbuda,2012,5-14 years,4,0,8475,0,781,1211411704,13657
male,Antigua and Barbuda,2012,55-74 years,1,0,4994,0,781,1211411704,13657
male,Antigua and Barbuda,2012,75+ years,6,0,1051,0,781,1211411704,13657
male,Antigua and Barbuda,2013,15-24 years,5,0,8061,0,781,1192925407,13287
male,Antigua and Barbuda,2013,25-34 years,5,0,6782,0,781,1192925407,13287
male,Antigua and Barbuda,2013,35-54 years,3,0,13302,0,781,1192925407,13287
male,Antigua and Barbuda,2013,5-14 years,4,0,8405,0,781,1192925407,13287
male,Antigua and Barbuda,2013,55-74 years,1,0,5238,0,781,1192925407,13287
male,Antigua and Barbuda,2013,75+ years,6,0,1072,0,781,1192925407,13287
male,Antigua and Barbuda,2014,15-24 years,5,0,8208,0,783,1280133333,14093
male,Antigua and Barbuda,2014,25-34 years,5,0,6928,0,783,1280133333,14093
male,Antigua and Barbuda,2014,35-54 years,3,0,13325,0,783,1280133333,14093
male,Antigua and Barbuda,2014,5-14 years,4,0,8335,0,783,1280133333,14093
male,Antigua and Barbuda,2014,55-74 years,1,0,5503,0,783,1280133333,14093
male,Antigua and Barbuda,2014,75+ years,6,0,1083,0,783,1280133333,14093
male,Antigua and Barbuda,2015,15-24 years,5,0,8331,0,,1364863037,14853
male,Antigua and Barbuda,2015,25-34 years,5,0,7059,0,,1364863037,14853
male,Antigua and Barbuda,2015,35-54 years,3,0,13370,0,,1364863037,14853
male,Antigua and Barbuda,2015,5-14 years,4,0,8268,0,,1364863037,14853
male,Antigua and Barbuda,2015,55-74 years,1,0,5784,0,,1364863037,14853
male,Antigua and Barbuda,2015,75+ years,6,0,1087,0,,1364863037,14853
male,Antigua and Barbuda,2016,15-24 years,,,,,,,
male,Antigua and Barbuda,2016,25-34 years,,,,,,,
male,Antigua and Barbuda,2016,35-54 years,,,,,,,
male,Antigua and Barbuda,2016,5-14 years,,,,,,,
male,Antigua and Barbuda,2016,55-74 years,,,,,,,
male,Antigua and Barbuda,2016,75+ years,,,,,,,
male,Argentina,1985,15-24 years,3,156,2415200,"6,46",694,88416668900,3264
male,Argentina,1985,25-34 years,1,177,2234200,"7,92",694,88416668900,3264
male,Argentina,1985,35-54 years,6,414,3346300,"12,37",694,88416668900,3264
male,Argentina,1985,5-14 years,3,16,3044200,"0,53",694,88416668900,3264
male,Argentina,1985,55-74 years,2,485,1997000,"24,29",694,88416668900,3264
male,Argentina,1985,75+ years,2,202,363000,"55,65",694,88416668900,3264
male,Argentina,1986,15-24 years,3,186,2428900,"7,66",,110934442763,4072
male,Argentina,1986,25-34 years,1,209,2246900,"9,3",,110934442763,4072
male,Argentina,1986,35-54 years,6,478,3365200,"14,2",,110934442763,4072
